cross,block,row,plant_num,disease_score
360x9549,F1B,3,1,NA
360x9549,F1B,3,2,NA
360x9540,F1B,3,3,4
360x9549,F1B,3,4,4
374xW,F1B,3,5,NA
360x9540,F1B,3,6,NA
360x9549,F1B,3,7,NA
374xW,F1B,3,8,4
374xW,F1B,3,9,4
374xW,F1B,3,10,4
374xW,F1B,3,11,NA
374xW,F1B,3,12,NA
311xW,F1B,4,1,NA
360x9549,F1B,4,2,2
364xW,F1B,4,3,4
311xW,F1B,4,4,4
374xW,F1B,4,5,4
311xW,F1B,4,6,4
360x9540,F1B,4,7,3
374xW,F1B,4,8,2
374xW,F1B,4,9,4
374xW,F1B,4,10,4
315xW,F1B,4,11,NA
360x9540,F1B,4,12,2
311x9540,F1B,5,1,3
374xW,F1B,5,2,4
360x9549,F1B,5,3,NA
374xW,F1B,5,4,4
374xW,F1B,5,5,4
360x9549,F1B,5,6,4
374xW,F1B,5,7,NA
374xW,F1B,5,8,NA
311x9540,F1B,5,9,NA
364xW,F1B,5,10,4
374xW,F1B,5,11,4
374xW,F1B,5,12,4
374xW,F1B,6,1,NA
374xW,F1B,6,2,NA
360x9540,F1B,6,3,4
374xW,F1B,6,4,4
374xW,F1B,6,5,4
374xW,F1B,6,6,NA
374xW,F1B,6,7,4
360x9540,F1B,6,8,NA
374xW,F1B,6,9,2
360x9549,F1B,6,10,NA
364xW,F1B,6,11,3
374xW,F1B,6,12,4
311x9540,F1B,7,1,4
360x9549,F1B,7,2,NA
360x9540,F1B,7,3,NA
364xW,F1B,7,4,4
374xW,F1B,7,5,4
374xW,F1B,7,6,4
374xW,F1B,7,7,NA
311xW,F1B,7,8,4
374xW,F1B,7,9,3
360x9549,F1B,7,10,4
374xW,F1B,7,11,4
374xW,F1B,7,12,4
311x9540,F1B,8,1,4
360x9549,F1B,8,2,2
311x9540,F1B,8,3,4
374xW,F1B,8,4,4
311xW,F1B,8,5,4
374xW,F1B,8,6,4
311x9540,F1B,8,7,NA
360x9540,F1B,8,8,4
315xW,F1B,8,9,3
311xW,F1B,8,10,4
374xW,F1B,8,11,4
374xW,F1B,8,12,4
360x9540,F1B,9,1,3
360x9540,F1B,9,2,4
360x9549,F1B,9,3,4
311x9540,F1B,9,4,4
315xW,F1B,9,5,4
374xW,F1B,9,6,4
311xW,F1B,9,7,4
374xW,F1B,9,8,NA
360x9540,F1B,9,9,NA
315xW,F1B,9,10,3
374xW,F1B,9,11,4
360x9549,F1B,9,12,4
360x9549,F1B,10,1,NA
360x9540,F1B,10,2,4
360x9549,F1B,10,3,NA
311x9540,F1B,10,4,NA
360x9549,F1B,10,5,NA
374xW,F1B,10,6,NA
311x9540,F1B,10,7,4
311x9540,F1B,10,8,NA
374xW,F1B,10,9,4
315xW,F1B,10,10,NA
360x9540,F1B,10,11,4
374xW,F1B,10,12,NA
311xW,F1B,11,1,3
374xW,F1B,11,2,NA
360x9549,F1B,11,3,4
315xW,F1B,11,4,4
360x9540,F1B,11,5,NA
315xW,F1B,11,6,4
311xW,F1B,11,7,NA
360x9549,F1B,11,8,3
360x9549,F1B,11,9,4
374xW,F1B,11,10,4
364xW,F1B,11,11,4
374xW,F1B,11,12,4
311x9540,F1B,12,1,NA
360x9549,F1B,12,2,4
311x9540,F1B,12,3,4
360x9540,F1B,12,4,4
374xW,F1B,12,5,4
374xW,F1B,12,6,3
374xW,F1B,12,7,4
374xW,F1B,12,8,NA
315xW,F1B,12,9,NA
311x9540,F1B,12,10,4
